"CATSFX","GENUS","SPECIES","SUBSPECIES","AGE","SEX","DATE","COUNTRY","STATE","COUNTY","SPECLOC","COLLCATNUM"
8781,"Melospiza","melodia","maxima","AHY","M","02 Jun 1998","USA","Alaska","Aleutian Islands","Rat Islands, Buldir Island","UAMX714"
9602,"Melospiza","melodia","maxima","AD","M","05 Jun 1998","USA","Alaska","Aleutian Islands","Rat Islands, Semisopochnoi Island","UAMX392"
27911,"Melospiza","melodia","maxima","AD","M","07 Jun 2009","USA","Alaska","Aleutian Islands","Segula I., above auklet colony near Gula Point","JJW310"
27913,"Melospiza","melodia","maxima","AD","M","07 Jun 2009","USA","Alaska","Aleutian Islands","Segula I., above auklet colony near Gula Point","JJW313"
27910,"Melospiza","melodia","maxima","AD","M","07 Jun 2009","USA","Alaska","Aleutian Islands","Segula I., above auklet colony near Gula Point","JJW311"
27907,"Melospiza","melodia","maxima","AD","M","07 Jun 2009","USA","Alaska","Aleutian Islands","Segula I., near Zapad Head","JJW305"
11363,"Melospiza","melodia","maxima","AHY","M","03 Jun 1999","USA","Alaska","Aleutian Islands","Shemya Island","CLP032"
11825,"Melospiza","melodia","maxima","AD","M","15 May 1999","USA","Alaska","Aleutian Islands","Shemya Island","DDG1714"
11171,"Melospiza","melodia","maxima","AHY","M","20 May 1999","USA","Alaska","Aleutian Islands","Shemya Island, North Beach","CLP518"
22257,"Melospiza","melodia","maxima","AHY","M","05 Jun 1998","USA","Alaska","","Semisopochuo Island","UAMX769"
11381,"Melospiza","melodia","sanaka","AHY","M","01 Jul 1999","USA","Alaska","Alaska Peninsula","King Cove","CLP173"
11362,"Melospiza","melodia","sanaka","AHY","M","30 Jun 1999","USA","Alaska","Alaska Peninsula","King Cove","CLP167"
37189,"Melospiza","melodia","sanaka","AHY","M","01 Jun 2015","USA","Alaska","Alaska Peninsula","Sutwik Island","JJW2805"
11236,"Melospiza","melodia","sanaka","AHY","M","16 May 2000","USA","Alaska","Aleutian Islands","Fox Islands, Bogoslof Island","KSW3369"
11237,"Melospiza","melodia","sanaka","AHY","M","16 May 2000","USA","Alaska","Aleutian Islands","Fox Islands, Bogoslof Island","KSW3368"
