CATSFX,GENUS,SPECIES,SUBSPECIES,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLCATNUM,MASS,WCH,TL,TS,BL,BLH,BLW,SKL
27884,Melospiza,melodia,maxima,AD,M,8-Jun-09,USA,Alaska,Aleutian Islands,Little Kiska,JJW323,45.5,79,69,27.9,11.7,7.4,5.9,38.4
27883,Melospiza,melodia,maxima,AD,M,8-Jun-09,USA,Alaska,Aleutian Islands,Little Kiska,JJW321,42,82,70,27.5,11.7,7,5.8,38.5
11227,Melospiza,melodia,maxima,AD,M,11-Sep-99,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",CLP371,40.8,78.1,75.7,24.9,14.3,8,6.6,36.7
8612,Melospiza,melodia,maxima,AHY,M,5-Sep-97,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",KSW1862,41.5,78.5,78.6,25.1,11.3,6.9,6.2,33
15299,Melospiza,melodia,maxima,AHY,M,13-May-02,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",KSW3949,43.4,79.3,66.8,25.7,12.6,7.3,5.8,38.6
15358,Melospiza,melodia,maxima,AHY,M,16-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",DAR188,46,80,74,25.8,12.7,7.3,6,39.1
15304,Melospiza,melodia,maxima,AHY,M,24-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",UAMX1666,46.4,81.2,79.8,25.3,13.3,7.4,5.9,38.5
15343,Melospiza,melodia,maxima,AD,M,24-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",UAMX1665,43.7,81.3,79.2,28.3,13.4,6.9,5.9,39.9
15354,Melospiza,melodia,maxima,AHY,M,24-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",UAMX1669,46.4,82,79.2,28.9,12,7,5.8,39.7
14165,Melospiza,melodia,maxima,AHY,M,24-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",UAMX1658,48.5,82,76,33.5,13.3,8,5.8,39
9305,Melospiza,melodia,maxima,AHY,M,2-Sep-99,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",CLP350,49.3,83.1,83.2,26.1,12.3,7.4,7.6,30.9
15330,Melospiza,melodia,maxima,AHY,M,14-May-02,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",KSW3953,45.9,83.2,81.7,27,12.6,7.4,6.3,37.3
15342,Melospiza,melodia,maxima,AD,M,7-Oct-00,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",DAR114,45.3,83.3,83.2,33.6,12.2,7.3,6.2,36.7
8462,Melospiza,melodia,maxima,AHY,M,4-Sep-97,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",KSW1776,43.7,83.4,79.4,23.9,10.3,8,6.3,37.3
9302,Melospiza,melodia,maxima,AHY,M,24-Aug-99,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",CLP309,57.6,83.8,76.5,26.8,12.8,7.4,5,40
15378,Melospiza,melodia,maxima,AHY,M,16-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",DAR177,48,83.9,85,26.7,13,8.1,6.3,39.9
15356,Melospiza,melodia,maxima,AHY,M,24-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",UAMX1661,44,83,78,28,12.5,7.5,5.9,38.9
15331,Melospiza,melodia,maxima,AHY,M,20-May-02,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",KSW3978,42.6,84,81.5,27.5,12.3,7.3,6.1,38.8
15302,Melospiza,melodia,maxima,AHY,M,5-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",DAR162,47,84.2,80.6,26.8,13,7.2,5.9,38.9
15313,Melospiza,melodia,maxima,AHY,M,24-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",UAMX1670,47.4,84,75,27.5,14.4,8.4,6.7,39.4
15352,Melospiza,melodia,maxima,AHY,M,24-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",UAMX1671,46.2,85.8,76.1,28.4,13,7.9,5.4,38.9
8463,Melospiza,melodia,maxima,AHY,M,4-Sep-97,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",KSW1774,39,87.3,79.8,24.3,8.2,6.9,7,39.5
20672,Melospiza,melodia,maxima,AHY,M,19-Sep-04,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island, Casco bluffs",REW507,41.4,86,86,28.6,11.8,7,4.5,39
10073,Melospiza,melodia,maxima,AHY,M,26-Feb-99,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island, Casco Cove",UAMX708,45.4,76.7,78.5,28.3,12.2,6.8,10.3,38.3
15363,Melospiza,melodia,maxima,AHY,M,18-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island, Casco Cove",DAR214,50,83,77.9,29.7,13,7,6,39.8
20674,Melospiza,melodia,maxima,AHY,M,15-Sep-04,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island, Gilbert Ridge",REW699,41.5,83,87,29.2,11.2,7.3,5.1,36.5
20518,Melospiza,melodia,maxima,AHY,M,17-Sep-04,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island, near Loaf Island",REW501,40.3,83,96,28.7,11.4,7.1,3.5,37.8
15320,Melospiza,melodia,maxima,AHY,M,8-May-01,USA,Alaska,Aleutian Islands,"Near Islands, Attu Islands",DAR168,49,82.3,79.8,26.8,13.6,7.3,5.8,40
19048,Melospiza,melodia,maxima,AD,M,22-May-99,USA,Alaska,Aleutian Islands,"Near Islands, Shemya Island",DDG1727,43.8,78,83,28.5,12,7.2,5.7,38.3
10944,Melospiza,melodia,maxima,AHY,M,14-May-99,USA,Alaska,Aleutian Islands,"Near Islands, Shemya Island",CLP487,44.1,80,76.2,27.1,12.6,7.7,5.9,39.5
13128,Melospiza,melodia,maxima,AD,M,21-May-99,USA,Alaska,Aleutian Islands,"Near Islands, Shemya Island",DDG1724,43.8,80,79.2,27.2,12.4,7.2,5.1,38.6
11243,Melospiza,melodia,maxima,AHY,M,28-Feb-00,USA,Alaska,Aleutian Islands,"Near Islands, Shemya Island",DDG1758,44.5,81.4,80.9,28,11,7.4,5.7,37.3
9418,Melospiza,melodia,maxima,AD,M,5-Jun-99,USA,Alaska,Aleutian Islands,"Near Islands, Shemya Island",CLP040,44.2,82.2,74.1,24.6,12.8,7.9,7.3,39.7
11244,Melospiza,melodia,maxima,AHY,M,29-Feb-00,USA,Alaska,Aleutian Islands,"Near Islands, Shemya Island",DDG1759,46.3,83.4,84.4,26.6,12.2,6.5,5.8,38.6
8781,Melospiza,melodia,maxima,AHY,M,2-Jun-98,USA,Alaska,Aleutian Islands,"Rat Islands, Buldir Island",UAMX714,45.7,86.5,81.1,27.5,11.5,7.7,7.5,37.9
9602,Melospiza,melodia,maxima,AD,M,5-Jun-98,USA,Alaska,Aleutian Islands,"Rat Islands, Semisopochnoi Island",UAMX392,43.7,85,78,27.9,12.5,7.4,6.6,39.2
27911,Melospiza,melodia,maxima,AD,M,7-Jun-09,USA,Alaska,Aleutian Islands,"Segula I., above auklet colony near Gula Point",JJW310,45.5,81,76,27.5,12.8,7.4,5.8,38.9
27913,Melospiza,melodia,maxima,AD,M,7-Jun-09,USA,Alaska,Aleutian Islands,"Segula I., above auklet colony near Gula Point",JJW313,46.5,82,81,27.2,11.9,7,6.9,38.3
27910,Melospiza,melodia,maxima,AD,M,7-Jun-09,USA,Alaska,Aleutian Islands,"Segula I., above auklet colony near Gula Point",JJW311,45.5,84,75,27,11.6,6.5,6.1,38.3
27907,Melospiza,melodia,maxima,AD,M,7-Jun-09,USA,Alaska,Aleutian Islands,"Segula I., near Zapad Head",JJW305,43,80,75,27.5,12.7,7.8,6.1,38.4
11363,Melospiza,melodia,maxima,AHY,M,3-Jun-99,USA,Alaska,Aleutian Islands,Shemya Island,CLP032,45.7,79.3,73.5,38.9,13.1,7.4,5.2,39.5
11825,Melospiza,melodia,maxima,AD,M,15-May-99,USA,Alaska,Aleutian Islands,Shemya Island,DDG1714,44.2,81.4,86.2,26.6,12.4,7.1,5.5,38.5
11171,Melospiza,melodia,maxima,AHY,M,20-May-99,USA,Alaska,Aleutian Islands,"Shemya Island, North Beach",CLP518,44.5,85.1,79.7,28.7,13.2,8.2,6,39.3
22257,Melospiza,melodia,maxima,AHY,M,5-Jun-98,USA,Alaska,,Semisopochuo Island,UAMX769,43,84.1,78.9,24.6,11.7,7.4,6.5,38.6
11381,Melospiza,melodia,sanaka,AHY,M,1-Jul-99,USA,Alaska,Alaska Peninsula,King Cove,CLP173,44.5,81.8,78.8,27.4,12.3,6.9,5.2,38.4
11362,Melospiza,melodia,sanaka,AHY,M,30-Jun-99,USA,Alaska,Alaska Peninsula,King Cove,CLP167,43.3,82.1,74,25.3,12.2,6.4,5.1,39.2
37189,Melospiza,melodia,sanaka,AHY,M,1-Jun-15,USA,Alaska,Alaska Peninsula,Sutwik Island,JJW2805,41,83,75.4,27.4,12,7.6,5.3,38.4
11236,Melospiza,melodia,sanaka,AHY,M,16-May-00,USA,Alaska,Aleutian Islands,"Fox Islands, Bogoslof Island",KSW3369,47.1,81.9,80.4,28.5,12.3,7.4,5.2,36.5
