CATSFX,GENUS,SPECIES,SUBSPECIES,HYBRIDTYPE,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLECTOR,CFIRSTNAME,COLLCATNUM,PREPARATOR,PFIRSTNAME,MASS,BODYCOND,REMARKS,DISPOS,AVAIL,SKINMEAS,EDWARDS,LATDEG,LATMIN,LONDEG,LONMIN
27882,Melospiza,melodia,maxima,,AD,M,05 Jun 2009,USA,Alaska,Aleutian Islands,"Kiska I., Kiska Harbor, N side of N. Head",Withrow,Jack J,JJW283,Withrow,Jack J,45,Fat:little; TE:9x9;,"paired with JJW284(?), collected on same beach;",1230,,WCH:78; TL:75; TS:28.3; BL:11.9; BLH:7.3; BLW:5.9; SKL:38.7;,Z65c050,,,,
27885,Melospiza,melodia,maxima,,AD,F,08 Jun 2009,USA,Alaska,Aleutian Islands,Little Kiska,Withrow,Jack J,JJW322,Withrow,Jack J,49,Fat:trace; OV:unshelled egg in oviduct; SK:100% oss.;,prep. 17 Feb 2010; gut saved;,1230,,WCH:78; TL:75; TS:27.4; BL:11.5; BLH:-; BLW:-; SKL:37.8;,Z65c050,,,,
27884,Melospiza,melodia,maxima,,AD,M,08 Jun 2009,USA,Alaska,Aleutian Islands,Little Kiska,Withrow,Jack J,JJW323,Withrow,Jack J,45.5,Fat:trace; TE:10x5; SK:100% oss.; Molt:none;,gut saved;,1230,,WCH:79; TL:69; TS:27.9; BL:11.7; BLH:7.4; BLW:5.9; SKL:38.4;,Z65c050,,,,
25099,Melospiza,melodia,maxima,,AHY,M,13 Jul 2004,USA,Alaska,Aleutian Islands,Little Kiska,,,KSW5294,Winker,Kevin S,42.5,"Fat:very light; Molt:heavy body, wing, and tail; Stom:insects? saved;","ssp determined by geography, Gibson and Kessel 1997; slipping;",1230,,WCH:82.9; TL:molt; TS:28.1; BL:11.8; BLH:7.0; BLW:6.1; SKL:38.9;,Z65c050,,,,
27883,Melospiza,melodia,maxima,,AD,M,08 Jun 2009,USA,Alaska,Aleutian Islands,Little Kiska,Withrow,Jack J,JJW321,Withrow,Jack J,42,Fat:trace; TE:12x5; SK:100% oss.;,gut saved;,1230,,WCH:82; TL:70; TS:27.5; BL:11.7; BLH:7.0; BLW:5.8; SKL:38.5;,Z65c050,,,,
28177,Melospiza,melodia,maxima,,AHY,F?,11 Aug 2002,USA,Alaska,Aleutian Islands,Little Kiska Island,Sowls,Arthur L,JJW620,Withrow,Jack J,44,Fat:?; gonads indestinct (OV?); Molt:moderate;,smells!; caught in rat trap; prep. 1 Mar 2010;,3120,,WCH:82; TL:85; TS:27.2; BL:11.2; BLH:7.0; BLW:6.2; SKL:38.0;,Z65c050,,,,
40431,Melospiza,melodia,maxima,,HY,U,13 Jul 2004,USA,Alaska,Aleutian Islands,"Little Kiska Island, 51o57.999'N 177o38.133'E",,,KSW5542,Winker,Kevin S,,Fat:none; Molt:moderate body; gonads not seen; SK:unoss.; Stom:veg. matl. and insects;,gut saved;,3130,,WCH:82.2; TL:78.0; TS:28.0; BL:10.1; BLH:6.8; BLW:5.1; SKL:37.0;,Z65c050,,,,
7223,Melospiza,melodia,maxima,,HY,M,11 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1832,Winker,Kevin S,45.2,Fat and molt: none; TE: L=1X1.5; SK: unoss.,HAB: Beachside.,1230,,WCH: 85.9; TL: 85.4; TS: 26.5; BL: 12.0; BLH: 7.7; BLW: 5.9; SKL: 39.1mm.,Z65c050,,,,
8129,Melospiza,melodia,maxima,,HY,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1864,Kohlmetz,Dale F,43.0,"OV:5.0X2.1, smooth; SK:100% unossified; MOLT:Heavy body; STOM:Seeds and grit; FAT:Light body",,1230,,WCH:75.3; TL:77.0; TS:28.4; BL:11.9; BLH:7.0; BLW:5.7; SKL:38.4,Z65c050,,,,
8610,Melospiza,melodia,maxima,,HY,F?,11 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1835,Pruett,Christin L,41.3,Gonads not identified; SK:20% ossified; MOLT:None; FAT:Light,,1230,,WCH:76.7; TL:77.8; TS:26.1; BL:12.4; BLH:7.5; BLW:7.2; SKL:42.6,Z65c050,,,,
14163,Melospiza,melodia,maxima,,AHY,F,07 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Johnson,Andrew B,ABJ123,Miller,Matthew J,51,"OV:12X8, ova to 2, soft-shelled egg in oviduct; FAT:Moderate; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts/swab.,1230,,WCH:76; TL:72; TS:31.1; BL:12.5; BLH:6.5; BLW:6.2; SKL:38.4,Z65c050,,,,
8133,Melospiza,melodia,maxima,,U,F,07 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1795,Richards,Amanda,39.8,OV:1.0X0.6,,1230,,WCH:76; TL:81.5; TS:34.1; BL:13.5; BLH:7.3; BLW:6.6; SKL:23.2,Z65c050,,,,
8097,Melospiza,melodia,maxima,,U,M,13 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1844,Richards,Amanda,38.7,TE:L=2.7X1.8,,1230,,WCH:76; TL:81.9; TS:30.3; BL:11.9; BLH:7.3; BLW:7.2; SKL:36.8,Z65c050,,,,
8094,Melospiza,melodia,maxima,,U,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1874,Richards,Amanda,42.8,OV:0.9X0.6,,1230,,WCH:76; TL:82.7; TS:31.7; BL:12.5; BLH:7.3; BLW:6.3; SK:17.85,Z65c050,,,,
7226,Melospiza,melodia,maxima,,HY,F,11 Sep 1996,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1833,Winker,Kevin S,41.4,"FAT:v.lt.; MOLT:none; OV:area destroyed by shot, but NO rt te.; SK:unoss.",HAB:beachside.,1230,,WCH:78(post-skinning); TL:80.7; TS:25.8; BL:11.3; BLH:6.8; BLW:5.9.,Z65c050,,,,
8131,Melospiza,melodia,maxima,,HY,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1863,Harrington,Erik,40.6,OV:3X2; SK:90% unossified; STOM:Seeds; MOLT:None; FAT:Moderate,Hab:Shoreline vegetation,1230,,WCH:78.1; TL:71.6; TS:24.1; BL:11.8; BLH:11.9; BLW:5.7; SKL:37.3,Z65c050,,,,
11227,Melospiza,melodia,maxima,,AD,M,11 Sep 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Pruett,Christin L,CLP371,Braile,Thomas M,40.8,TE:Identified; FAT:Moderate; MOLT:Moderate head.,Singing. Skin/skel/tiss2/guts/stom/swab.,1230,,WCH:78.1; TL:75.7; TS:24.9; BL:14.3; BLH:8.0; BLW:6.6; SKL:36.7,Z65c050,,,,
15327,Melospiza,melodia,maxima,,AHY,F,13 May 2002,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Sonneborn,David W,KSW3948,Moncrief,Heather H.,48.6,OV:10X6; FAT:Heavy; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:78.3; TL:56.6; TS:25.5; BL:12.5; BLH:7.5; BLW:6.2; SKL:38.7,Z65c050,,,,
8614,Melospiza,melodia,maxima,,HY,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1867,Pruett,Christin L,40.0,OV:nongranular; FAT:Trace; SK:5% ossified; MOLT:None; STOM:Insects,previously mislabled as KSW1866;,1230,,WCH:78.3; TL:73.0; TS:25.3; BL:12.0; BLH:7.1; BLW:6.9; SKL:38.4,Z65c050,,,,
8130,Melospiza,melodia,maxima,,U,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1866,Finch,Ernie,41.4,OV:seen; FAT:Light; MOLT:None; STOM:insects,"Eye black, feet dark amber",1230,,WCH:78.3; TL:74.6; TS:30.6; BL:10.2,Z65c050,,,,
15346,Melospiza,melodia,maxima,,AHY,M,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1662,Johnson,Andrew B,48.2,TE:12X7; FAT:Moderate; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:78.4; TL:79.0; TS:28.0; BL:13.2; BLH:--; BLW:--; SKL:--,Z65c050,,,,
8612,Melospiza,melodia,maxima,,AHY,M,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1862,Pruett,Christin L,41.5,TE:2.0X1.5; FAT:Light; SK:100% ossified; MOLT:None,Habitat:shoreline vegetaion-beach interface,1230,,WCH:78.5; TL:78.6; TS:25.1; BL:11.3; BLH:6.9; BLW:6.2; SKL:33.0,Z65c050,,,,
9301,Melospiza,melodia,maxima,,HY,F?,23 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Spellman,Garth M,CLP313,Pruett,Christin L,50.2,OV:Oviduct seen? FAT:Trace; SK:5% ossified; MOLT:Heavy body; STOM:Vegetation.,HAB:Rocky coastline.,1230,,WCH:78.6; TL:80.0; TS:24.0; BL:12.2; BLH:7.5; BLW:6.5; SKL:38.0,Z65c050,,,,
14588,Melospiza,melodia,maxima,,HY,F,21 Aug 1998,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Dickerman,Robert W,RWD24866,Johnson,Andrew B,45.3,Gonads not described; FAT:Light; SK:0% ossified; MOLT:Heavy body,Skin/skel/tiss2/stom/guts/swab,1230,,WCH:78.8; TL:80.2; TS:27.0; BL:11.7; BLH:7.0; BLW:6.0; SKL:38.2,Z65c050,,,,
9300,Melospiza,melodia,maxima,,HY,M,19 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Spellman,Garth M,CLP284,Pruett,Christin L,,"TE:L=2.1X0.8; FAT:Light; SK:Unossified; MOLT:Heavy body; STOM: Insects, vegetation.",HAB:Rocky beach.,1230,,WCH:78.9; TL:72.2; TS:25.7; BL:10.9; BLH:7.9; BLW:7.7; SKL:36.1,Z65c050,,,,
15357,Melospiza,melodia,maxima,,AHY,F,04 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Johnson,Andrew B,ABJ115,Moncrief,Heather H.,53.6,"OV:14X11, ova to 19X17, incubation patch FAT:Moderate; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:78; TL:66; TS:25.5; BL:12.4; BLH:7.1; BLW:5.8; SKL:39.0,Z65c050,,,,
14164,Melospiza,melodia,maxima,,AHY,F,07 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Johnson,Andrew B,ABJ122,Miller,Matthew J,44,"OV:7.5X6.5, ova to 2; FAT:Moderate; SK:100% ossified; MOLT:Slight",Skin/skel/tiss2/stom/guts/swab,1230,,WCH:78; TL:75; TS:32.2; BL:12.7; BLH:7.2; BLW:6.8; SKL:38.6,Z65c050,,,,
7227,Melospiza,melodia,maxima,,HY,F,12 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1838,Winker,Kevin S,40.5,"FAT:v.lt.; MOLT:mod in body; OV:3.9x2.1, nongranular; SK:unoss; STOM:saved.",HAB:beachside.,1230,,WCH:79.2; TL:77.5; TS:25.5; BL:11.8; BLH:7.2; BLW:5.6; SKL:38.8.,Z65c050,,,,
15299,Melospiza,melodia,maxima,,AHY,M,13 May 2002,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Sonneborn,David W,KSW3949,Moncrief,Heather H.,43.4,TE:L=9X6.5; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:79.3; TL:66.8; TS:25.7; BL:12.6; BLH:7.3; BLW:5.8; SKL:38.6,Z65c050,,,,
11225,Melospiza,melodia,maxima,,HY,M,24 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Pruett,Christin L,CLP323,Braile,Thomas M,42.6,TE:L=4X1; FAT:Light; MOLT:Light head and body; SK:10% ossified,Skin/skel/tiss2/stom/guts.,1230,,WCH:79.4; TL:73.5; TS:23.3; BL:--; BLH:7.6; BLW:6.4; SKL:37.3,Z65c050,,,,
8132,Melospiza,melodia,maxima,,HY,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1865,Buchanan,Lance,42.6,OV:4.0X3.0; SK:95% unossified; FAT:None,HAB:Shoreline vegetation,1230,,WCH:79.4; TL:75.1; TS:32.2; BL:12.2; BLH:7.0; BLW:6.0; SKL:38.4,Z65c050,,,,
15372,Melospiza,melodia,maxima,,AHY,F,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Sonneborn,David W,UAMX1668,Guitton,Peggy,34.5,"OV:13.2X9.0, egg 11.7X8.5; FAT:Light; SK:100% ossified; MOLT: Secondaries",Skin/skel/tiss/stom/guts,1230,,WCH:79.4; TL:78.5; TS:28.9; BL:12.4; BLH:6.4; BLW:6.1; SKL:37.6,Z65c050,,,,
14587,Melospiza,melodia,maxima,,AD,F,14 Aug 1998,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Dickerman,Robert W,RWD24848,Topp,Carrie,42.9,"OV:5.5X3.5, granular; FAT:Light; MOLT:Symmetric wing molt",Tail worn. Skin/skel/tiss2/stom/guts,1230,,WCH:79.5; TL:72.2; TS:25.2; BL:13.0; BLH:7.7; BLW:5.8; SKL:39.3,Z65c050,,,,
14162,Melospiza,melodia,maxima,,AHY,F,25 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1685,Miller,Matthew J,43.5,"OV:9.8X5, ova to 2; FAT:Slight; SK:100% ossified; MOLT:None. Incubation patch.",Skin/skel/tiss2/stom/guts/swab.,1230,,WCH:79; TL:65; TS:30.7; BL:13.2; BLH:6.8; BLW:5.8; SKL:38.1,Z65c050,,,,
8099,Melospiza,melodia,maxima,,U,M,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1876,Richards,Amanda,44.3,TE:L=1.7X1.0,paired with 1877,1230,,WCH:79; TL:75.7; TS:31.1; BL:12.5; BLH:7.2; BLW:5.6; SKL:22.5,Z65c050,,,,
8095,Melospiza,melodia,maxima,,U,F,14 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1911,Richards,Amanda,40.9,"OV:""L=2.0X1.3 granular""",,1230,,WCH:79; TL:78.0; TS:29.8; BL:12.6; BLH:7.7; BLW:7.1; SKL:36.9,Z65c050,,,,
8093,Melospiza,melodia,maxima,,HY,F,07 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1796,Richards,Amanda,41.4,OV:nondifferentiated; SK:unossified,,1230,,WCH:79; TL:90.6; TS:31.2; BL:13.6; BLH:7.4; BLW:6.5; SKL:20.5,Z65c050,,,,
15379,Melospiza,melodia,maxima,,AHY,F,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1664,Maley,James M,46.5,OV:Ova to 4+; FAT:Moderate; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:80.0; TL:70.8; TS:26.6; BL:12.7; BLH:7.3; BLW:6.8; SKL:38.3,Z65c050,,,,
11228,Melospiza,melodia,maxima,,HY,M,24 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Pruett,Christin L,CLP312,Braile,Thomas M,40.7,"TE:L=3X1, R=3X1; FAT:Light; SK:20% ossified; MOLT:Heavy body",Skin/skel/tiss2/stom/guts,1230,,WCH:80.0; TL:78.3; TS:26.4; BL:13.2; BLH:7.9; BLW:6.6; SKL:37.3,Z65c050,,,,
15332,Melospiza,melodia,maxima,,AHY,F,14 May 2002,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW3952,Winker,Kevin S,54.1,"OV:18.2X9.1, largest ovum 8; FAT & MOLT:None; SK:Ossified",Skin/skel/tiss2/stom/guts,1230,,WCH:80.1; TL:75.8; TS:26.8; BL:12.2; BLH:7.3; BLW:6.1; SKL:38.2,Z65c050,,,,
8126,Melospiza,melodia,maxima,,HY,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1871,Kohlmetz,Dale F,43.2,OV:gonads identified; SK:100% unossified; STOM:seeds and grit; FAT:very light,,1230,,WCH:80.2; TL:72.9; TS:27.1; BL:11.5; BLH:7.0; BLW:6.4; SKL:36.0,Z65c050,,,,
11242,Melospiza,melodia,maxima,,HY,M,11 Sep 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Spellman,Garth M,CLP370,Johnson,Andrew B,41.2,TE:Small; FAT:Light; SK:Unossified; MOLT:None,HAB:Rocky coastline.  Singing.  Skin/skel/tiss2/stom/guts.,1230,,WCH:80.2; TL:74.2; TS:27.2; BL:7.0; BLH:6.7; BLW:6.1; SKL:38.0,Z65c050,,,,
15351,Melospiza,melodia,maxima,,AHY,F,20 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1700,Johnson,Andrew B,41.2,"OV:10X6, ova to 4; FAT:Light; MOLT:None; SK:100% ossified",Skin/skel/tiss2/stom/guts,1230,,WCH:80.2; TL:76.7; TS:26.0; BL:12.0; BLH:6.7; BLW:6.7; SKL:38.2,Z65c050,,,,
13055,Melospiza,melodia,maxima,,U,F,02 Oct 2000,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Rocque,Deborah A,DAR087,Stalker,Corey L,44.4,OV:9.5X6.8; FAT:Light,Skin/skel/tiss2/stom/guts,1230,,WCH:80.3; TL:71.1; TS:23.6; BL:13.1; BLH:7.5; BLW:5.7; SKL:32.6,Z65c050,,,,
14599,Melospiza,melodia,maxima,,HY,F,04 Oct 2000,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Rocque,Deborah A,DAR105,Pruett,Christin L,45.3,OV:amorphous; FAT:Light; SK:10% ossified; MOLT:Moderate,Skin/skel/tiss2/stom/guts,1230,,WCH:80.3; TL:78.8; TS:29.6; BL:12.1; BLH:6.6; BLW:6.3; SKL:38.7,Z65c050,,,,
15300,Melospiza,melodia,maxima,,AHY,U,16 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Rocque,Deborah A,DAR187,Braile,Thomas M,49,Gonads not identified; FAT:Moderate; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:80.4; TL:77.5; TS:24.5; BL:13.1; BLH:6.7; BLW:6.2; SKL:38.4,Z65c050,,,,
8613,Melospiza,melodia,maxima,,AHY,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1872,Pruett,Christin L,41.0,OV:identified; FAT:Light; SK:100% ossified; MOLT:Moderate body,Habitat: shoreline vegetaion-beach interface,1230,,WCH:80.4; TL:88.3; TS:25.1; BL:11.5; BLH:7.2; BLW:5.9; SKL:39.2,Z65c050,,,,
7652,Melospiza,melodia,maxima,,HY,F,08 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1812,Winker,Kevin S,37.8,"OV:7X2, nongranular; SK:Unossifed; FAT & MOLT:None; STOM:Seeds and grit",HAB:Beachside,1230,,WCH:80.6; TL:83.5; TS:24.2; BL:12.0; BLH:7.1; BLW:5.6; SKL:38.3,Z65c050,,,,
8609,Melospiza,melodia,maxima,,HY,M,13 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1842,Pruett,Christin L,41.2,TE:1.5X0.5; FAT:Light; SK:0% ossified; MOLT:6th R rectrix in sheath,Singing,1230,,WCH:80.7; TL:82.9; TS:22.7; BL:11.7; BLH:7.7; BLW:6.9; SKL:39.0,Z65c050,,,,
13056,Melospiza,melodia,maxima,,HY,M,24 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Spellman,Garth M,CLP322,Stalker,Corey L,42.5,TE:L=1.7X1.2; FAT:Light,Rocky coastline; Skin/skel/tiss2/stom/guts,1230,,WCH:80; TL:73.6; TS:24.9; BL:9.8; BLH:6.4; BLW:9.7; SKL:36.1,Z65c050,,,,
14166,Melospiza,melodia,maxima,,AHY,F,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1659,Miller,Matthew J,41,"OV:8.5X8, ova to 2; FAT:Light; SK:95% ossified; MOLT:None",Skin/skel/tiss2/stom/guts/swab,1230,,WCH:80; TL:73; TS:30.3; BL:12.4; BLH:7.9; BLW:6.1; SKL:36.0,Z65c050,,,,
15358,Melospiza,melodia,maxima,,AHY,M,16 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Rocque,Deborah A,DAR188,Moncrief,Heather H.,46,LT=10X7; FAT:Moderate; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:80; TL:74; TS:25.8; BL:12.7; BLH:7.3; BLW:6.0; SKL:39.1,Z65c050,,,,
8107,Melospiza,melodia,maxima,,U,M,16 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1926,Richards,Amanda,39.9,TE:L=2.5X1.4; MOLT:ing,with 1927,1230,,WCH:80; TL:77.2; TS:23.6; BL:13.5; BLH:7.4; BLW:7.0; SKL:37.2,Z65c050,,,,
8091,Melospiza,melodia,maxima,,HY,M,15 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1924,Richards,Amanda,45.7,TE:L=2.8X1.3; MOLT:,"""possibly singing""",1230,,WCH:80; TL:82.6; TS:25.5; BL:12.2; BLH:7.4; BLW:7.1; SKL:37.4,Z65c050,,,,
15304,Melospiza,melodia,maxima,,AHY,M,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1666,Braile,Thomas M,46.4,"TE:L=12.7X8.7, R=broken; FAT:Trace; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:81.2; TL:79.8; TS:25.3; BL:13.3; BLH:7.4; BLW:5.9; SKL:38.5,Z65c050,,,,
9303,Melospiza,melodia,maxima,,HY,F,24 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Pruett,Christin L,CLP311,Spellman,Garth M,52.5,OV:Oviduct seen; FAT:None; SK:10% ossified; MOLT:None; STOM: Insects.,HAB:Rocky coastline.,1230,,WCH:81.3; TL:78.2; TS:25.4; BL:11.8; BLH:7.0; BLW:5.5; SKL:37.9,Z65c050,,,,
15343,Melospiza,melodia,maxima,,AD,M,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1665,Topp,Carrie,43.7,LT=11X7.9; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:81.3; TL:79.2; TS:28.3; BL:13.4; BLH:6.9; BLW:5.9; SKL:39.9,Z65c050,,,,
15325,Melospiza,melodia,maxima,,AHY,M,19 May 2002,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Sonneborn,David W,KSW3974,Moncrief,Heather H.,45.7,TE:L=14X8.5; FAT:Light; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts,1230,,WCH:81.6; TL:--; TS:26.9; BL:12.7; BLH:7.5; BLW:6.1; SKL:38.4,Z65c050,,,,
15328,Melospiza,melodia,maxima,,AHY,F,09 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Johnson,Andrew B,ABJ124,Winker,Kevin S,47.5,"OV:17X10, ova to 4.5; FAT & MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:81.8; TL:79.1; TS:25.9; BL:12.5; BLH:6.7; BLW:5.7; SKL:39.1,Z65c050,,,,
8096,Melospiza,melodia,maxima,,U,F,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1877,Richards,Amanda,40.7,OV:,paired with 1876,1230,,WCH:81; TL:80.8; TS:29.3; BL:10.7; BLH:6.5; BLW:7.0; SKL:23.0,Z65c050,,,,
8100,Melospiza,melodia,maxima,,U,M,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Dickerman,Robert W,KSW1875,Richards,Amanda,38.9,TE:L=2.4X2.0; MOLT:,,1230,,WCH:81; TL:84.4; TS:31.6; BL:14.1; BLH:7.5; BLW:7.0; SKL:21.7,Z65c050,,,,
15354,Melospiza,melodia,maxima,,AHY,M,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Sonneborn,David W,UAMX1669,Johnson,Andrew B,46.4,"RT=12X8, cloacal protuberance; FAT:Light; SK:100% ossified; MOLT:None",Skin/skel/tiss2/stom/guts,1230,,WCH:82.0; TL:79.2; TS:28.9; BL:12.0; BLH:7.0; BLW:5.8; SKL:39.7,Z65c050,,,,
8127,Melospiza,melodia,maxima,,HY,M,05 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1870,Hitch,Teresa,42.5,"TE:1.0X1.0; FAT:None; SK:90% unossified; MOLT:Very little; STOM: few stones, tan seed coasts, black particles (fine)",,1230,,WCH:82.18; TL:73.74; TS:26.68; BL:12.0; BLH:7.0; BLW:6.26; SKL:36.7,Z65c050,,,,
8128,Melospiza,melodia,maxima,,U,M,07 Sep 1997,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Winker,Kevin S,KSW1794,Taylor,Jeanie,43.9,FAT:None; MOLT:None; TE:identified,,1230,,WCH:82.2; TL:84.0; TS:32.5; BL:10.8; BLH:7.0; BLW:5.3; SKL:21.3,Z65c050,,,,
9299,Melospiza,melodia,maxima,,HY,M,21 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Spellman,Garth M,CLP299,Pruett,Christin L,,TE:R=1.4X1.0; FAT:Light; SK:5% ossified; MOLT:Light body; STOM: Insects,HAB:Coastal vegetation.,1230,,WCH:82.6; TL:82.3; TS:28.8; BL:11.8; BLH:7.9; BLW:7.2; SKL:38.1,Z65c050,,,,
11224,Melospiza,melodia,maxima,,HY,M,19 Aug 1999,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Spellman,Garth M,DDG1844,Gibson,Daniel D,43.8,TE:Small; FAT:None; SK:Unossified; MOLT:None,Skin/skel/tiss2/stom/guts.,1230,,WCH:82.7; TL:87.6; TS:28.3; BL:12.5; BLH:7.2; BLW:6.0; SKL:38.5,Z65c050,,,,
14165,Melospiza,melodia,maxima,,AHY,M,24 May 2001,USA,Alaska,Aleutian Islands,"Near Islands, Attu Island",Maley,James M,UAMX1658,Miller,Matthew J,48.5,TE:L=13X9; FAT:Slight; SK:100% ossified; MOLT:None,Skin/skel/tiss2/stom/guts/swab,1230,,WCH:82; TL:76; TS:33.5; BL:13.3; BLH:8.0; BLW:5.8; SKL:39.0,Z65c050,,,,
