CATSFX,GENUS,SPECIES,SUBSPECIES,HYBRIDTYPE,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLECTOR,CFIRSTNAME,COLLCATNUM,PREPARATOR,PFIRSTNAME,MASS,BODYCOND,REMARKS,DISPOS,AVAIL,SKINMEAS,EDWARDS,LATDEG,LATMIN,LONDEG,LONMIN
11245,Melospiza,melodia,caurina,,JUV,F,20 Jul 2000,USA,Alaska,Copper River Delt,Copper River Rd mi. 34,Pruett,Christin L,DDG1847,Gibson,Daniel D,31.9,OV:Small; FAT:None; SK:Unossified; MOLT:General.,Coll CLP529,1020,,WCH:69.0; TL:69.1; TS:24.8; BL:9.8; BLH:7.1; BLW:4.8; SKL:34.8,Z65c050,,,,
11247,Melospiza,melodia,caurina,,JUV,M,19 Jul 2000,USA,Alaska,Copper River Delt,Copper River Rd.,Pruett,Christin L,DDG1846,Gibson,Daniel D,27.5,TE:Identified; FAT:None; SK:Unossified.,Washed.,1030,,WCH:73.9; TL:71.1; TS:24.6; BL:9.1; BLH:6.2; BLW:5.4; SKL:34.9,Z65c050,,,,
11272,Melospiza,melodia,caurina,,HY,M,19 Jul 2000,USA,Alaska,Copper River Delt,"Cordova, Airport Rd",Pruett,Christin L,CLP527,Pruett,Christin L,31.3,fat:very light;te:l:3.3x1.7;sk:unoss.;molt:heavy body molt;stom:insects,road kill,1220,,wch:73.4;tl:68.8;ts:26.1;bl:9.4;blh:5.7;blw:4.9;skl:34.6,Z65c050,,,,
11330,Melospiza,melodia,caurina,,HY,F,19 Jul 2000,USA,Alaska,Copper River Delt,"Cordova, Hartney Bay",Pruett,Christin L,CLP525,Pruett,Christin L,26.5,fat:very lt;ov:ovary seen;sk:unoss.;molt:heavy body molt;stom:insects and seeds,hab:slough,1220,,wch:69.6;tl:66.6;ts:23.8;bl:9.5;blw:5.0;skl:33.9,Z65c050,,,,
8922,Melospiza,melodia,caurina,,AHY,M,12 May 1999,USA,Alaska,North Gulf Coast,Copper River Delta,Spellman,Garth M,CLP019,Pruett,Christin L,257,TE:L=6.2X5.8; FAT:Light; SK:100% ossified; MOLT:None; STOM:Insects,LATLONG: 6026N 14518W. Singing bird in boggy thicket.,1230,,WCH:73.5; TL:65.6; TS:23.8; BL:10.3; BLH:6.4; BLW:5.7; SKL:34.9,Z65c050,,,,
39727,Melospiza,melodia,caurina,,AD,M,11 Aug 2016,USA,Alaska,Prince Wm Sound,"Montague I., Port Chalmers, 60.2166oN 147.2793oW",DeCicco,Lucas H,JJW3523,Withrow,Jack J,40,Fat:light; TE:3x2; SK:100% oss.; Molt:ex. heavy;,HAB:intertidal; LHD1060; gut saved; prep. 24 Feb 2017;,1020,,,Z65c050,,,,
30365,Melospiza,melodia,caurina,,AHY,M,22 Apr 2012,USA,Alaska,Prince Wm Sound,"Valdez, harbor area",DeCicco,Lucas H,JJW1608,Withrow,Jack J,29,Fat:light; TE:7x6; SK:100% oss.;,HAB:intertidal shoreline; recordings (LHD-00679) to Cornell; gut saved; prep. 26 July 2012;,1220,,WCH:73.8; TL:67.4; TS:24.5; BL:10.3;; BLH:5.9; BLW:4.7; SKL:35.7;,Z65c050,,,,
30364,Melospiza,melodia,caurina,,AHY,M,22 Apr 2012,USA,Alaska,Prince Wm Sound,"Valdez, harbor area, 61.1278oN 146.3372oW",DeCicco,Lucas H,JJW1585,Withrow,Jack J,30,Fat:light; TE:7x5; SK:100% oss.;,audio recording (LHD-000677) to Cornell; gut saved; prep. 16 July 2012;,1220,,WCH:74.6; TL:67.6; TS:25.2; BL:10.7; BLH:6.2; BLW:5.1; SKL:36.5;,Z65c050,,,,
14941,Melospiza,melodia,caurina,,AD,M,20 May 2002,USA,Alaska,Prince Wm Sound,"Valdez, Robe Lake",Maley,James M,UAMX2530,Moncrief,Heather H.,28.5,FAT:very light; TE:L=8.8x7.7; SK: 100% oss.; MOLT:none; STOM:vegitation?;,"Responded to recording, skin/p.skel/c.swab/tiss2/stom/gut HAB:shoreline brush",1230,,WCH:73; TL:65; TS:23.9; BL:10.3; BLH:5.9; BLW:4.9; SKL:35.1,Z65c050,,,,
10652,Melospiza,melodia,caurina,,AHY,M,02 May 2000,USA,Alaska,Southeast,Copper River Delta,Spellman,Garth M,UAMX1104,Pruett,Christin L,27.5,Fat light; Testis R=7.0 x 6.3; Skull 100% oss; Molt none; Stom insects,,1230,,wch 70.8; tl 64.6; ts 23.9; bl 10.3; blh 6.0; blw 5.0; skl 34.9,Z65c050,,,,
11046,Melospiza,melodia,caurina,,AD,M,03 May 2000,USA,Alaska,,Copper River Delta,Spellman,Garth M,UAMX1124,Pruett,Christin L,26.7,TE:L=7.5X5.4; FAT:None; SK:100% ossified; MOLT:None; STOM:Insects,,1230,,WCH:72.0; TL:65.1; TS:22.3; BL:11.3; BLH:6.4; BLW:5.3; SKL:35.6,Z65c050,,,,
27829,Melospiza,melodia,caurina,,NST,U,14 Jun 2009,USA,Alaska,,"Cordova, Alaganik Slough",Winker,Kevin S,KSW5319,Winker,Kevin S,,Gonads destroyed by shot.,"Fledged yesterday but couldn't get there. Brain, heart, muscle, liver, bone, and pancreas on RNA-later.",1020,,,Z65c050,,,,
